address,lat,lon
"512 E OAK ST, Pocatello, ID 83201",42.8770152,-112.4456045
"239 WAYNE AVE, Pocatello, ID 83201",42.8794787,-112.4454238
"259 WAYNE AVE, Pocatello, ID 83201",42.8798011,-112.4454205
"635 JEFFERSON AVE, Pocatello, ID 83201",42.8866261,-112.4417035
"695 RANDOLPH AVE, Pocatello, ID 83201",42.8875857,-112.4429083
"408 E OAK ST, Pocatello, ID 83201",42.8770291,-112.4476222
"105 JEFFERSON AVE, Pocatello, ID 83201",42.8771092,-112.4417667
"760 YELLOWSTONE AVE, Pocatello, ID 83201",42.8889167,-112.451551
"200 E PINE ST, Pocatello, ID 83201",42.8841427,-112.4447291
"670 PARK AVE, Pocatello, ID 83201",42.8873336,-112.443922
"815 E WALNUT ST, Pocatello, ID 83201",42.8822783,-112.4425443
"230 PARK AVE, Pocatello, ID 83201",42.8793432,-112.443969
"711 JEFFERSON AVE, Pocatello, ID 83201",42.8880204,-112.4417016
"140 WASHINGTON AVE, Pocatello, ID 83201",42.8776976,-112.4464503
"613 RANDOLPH AVE, Pocatello, ID 83201",42.8862879,-112.442915
"177 PARK AVE, Pocatello, ID 83201",42.8782625,-112.4442036
"888 E PINE ST, Pocatello, ID 83201",42.8842511,-112.4418776
"166 WASHINGTON AVE, Pocatello, ID 83201",42.8781147,-112.4464441
"453 E ELM ST, Pocatello, ID 83201",42.8786719,-112.4468453
"463 JEFFERSON AVE, Pocatello, ID 83201",42.8834705,-112.4417276
"608 WILLARD AVE, Pocatello, ID 83201",42.8862441,-112.4476152
"593 WILLARD AVE, Pocatello, ID 83201",42.8857783,-112.4478464
"227 PARK AVE, Pocatello, ID 83201",42.879279,-112.4441936
"594 RANDOLPH AVE, Pocatello, ID 83201",42.8857872,-112.4426915
"409 E MAPLE ST, Pocatello, ID 83201",42.8804802,-112.4475727
"235 RANDOLPH AVE, Pocatello, ID 83201",42.8794045,-112.442984
"160 PARK AVE, Pocatello, ID 83201",42.878008,-112.4439776
