incident_id,nature,area,agency,reported_dt_raw,address,reported_dt,year,month,day,hour,dow,nature_grp,lat,lon
21-P24589,ACCIDENT,PD8,PPD,07:39:49 11/02/21,"512 E OAK ST, Pocatello, ID 83201",2021-11-02 07:39:49,2021,11,2,7,1,OTHER,42.8770152,-112.4456045
21-P24588,ABANDONED VEHIC,PD8,PPD,07:33:53 11/02/21,"239 WAYNE AVE, Pocatello, ID 83201",2021-11-02 07:33:53,2021,11,2,7,1,TRAFFIC,42.8794787,-112.4454238
21-P24684,PARKING PROBLEM,PD8,PPD,11:36:12 11/03/21,"259 WAYNE AVE, Pocatello, ID 83201",2021-11-03 11:36:12,2021,11,3,11,2,OTHER,42.8798011,-112.4454205
21-P24676,ORDINANCE VIOL,PD8,PPD,10:44:02 11/03/21,"635 JEFFERSON AVE, Pocatello, ID 83201",2021-11-03 10:44:02,2021,11,3,10,2,OTHER,42.8866261,-112.4417035
21-P24653,SUSPICIOUS,PD8,PPD,22:14:17 11/02/21,"695 RANDOLPH AVE, Pocatello, ID 83201",2021-11-02 22:14:17,2021,11,2,22,1,OTHER,42.8875857,-112.4429083
21-P25305,WANTED PERSON,PD8,PPD,22:12:44 11/11/21,"CEDAR & WAYNE, Pocatello, ID 83201",2021-11-11 22:12:44,2021,11,11,22,3,OTHER,,
21-P25304,ACCIDENT,PD8,PPD,22:01:54 11/11/21,"CEDAR & WAYNE, Pocatello, ID 83201",2021-11-11 22:01:54,2021,11,11,22,3,OTHER,,
21-P07784,UNSECURE PREMIS,PD8,PPD,11:26:33 04/17/21,"408 E OAK ST, Pocatello, ID 83201",2021-04-17 11:26:33,2021,4,17,11,5,OTHER,42.8770291,-112.4476222
21-P07767,WELFARE CHECK,PD8,PPD,00:32:48 04/17/21,"105 JEFFERSON AVE, Pocatello, ID 83201",2021-04-17 00:32:48,2021,4,17,0,5,SERVICE,42.8771092,-112.4417667
21-P07749,WELFARE CHECK,PD8,PPD,17:25:10 04/16/21,"760 YELLOWSTONE AVE, Pocatello, ID 83201",2021-04-16 17:25:10,2021,4,16,17,4,SERVICE,42.8889167,-112.451551
21-P07728,SUSPICIOUS,PD8,PPD,13:30:04 04/16/21,"200 E PINE ST, Pocatello, ID 83201",2021-04-16 13:30:04,2021,4,16,13,4,OTHER,42.8841427,-112.4447291
21-P07725,WEAPONS OFFENSE,PD8,PPD,12:55:25 04/16/21,"670 PARK AVE, Pocatello, ID 83201",2021-04-16 12:55:25,2021,4,16,12,4,VIOLENT,42.8873336,-112.443922
21-P07677,ABANDONED VEHIC,PD8,PPD,19:34:12 04/15/21,"815 E WALNUT ST, Pocatello, ID 83201",2021-04-15 19:34:12,2021,4,15,19,3,TRAFFIC,42.8822783,-112.4425443
